GENE_ID	GENE_NAME	FAMILY_PVALUE	NTISSUES
ENSG00000007047.10	MARK4	6.55922767138682e-09	1
ENSG00000012061.11	ERCC1	3.18054363363503e-05	1
ENSG00000062370.12	ZNF112	1.28855220787794e-08	1
ENSG00000105520.6	DKFZP761J1410	1.60712268976843e-05	2
ENSG00000105538.4	RASIP1	8.43130227811601e-05	4
ENSG00000105559.7	PLEKHA4	0.000176764574446604	1
ENSG00000110011.9	DNAJC4	5.55213249806804e-05	1
ENSG00000125753.9	VASP	6.65661806701254e-05	1
ENSG00000129351.13	ILF3	8.12447577073241e-05	1
ENSG00000130158.9	DOCK6	2.38264426636417e-07	1
ENSG00000130208.5	APOC1	9.48698208084777e-12	1
ENSG00000130812.6	ANGPTL6	0.00010141833989885	1
ENSG00000134222.12	PSRC1	1.60906431964794e-13	6
ENSG00000134243.7	SORT1	5.99374358166279e-12	1
ENSG00000137845.10	ADAM10	0.000164892727763987	1
ENSG00000142233.7	NTN5	4.56937333679491e-05	2
ENSG00000142609.13	C1orf222	7.74280074658055e-05	1
ENSG00000143106.8	PSMA5	4.75497766382138e-08	1
ENSG00000143126.7	CELSR2	7.72830562418782e-14	3
ENSG00000151422.8	FER	8.96624289088171e-05	1
ENSG00000153015.11	CWC27	5.93387357802475e-05	1
ENSG00000158517.9	NCF1	3.82856021968657e-05	1
ENSG00000159917.10	ZNF235	1.1417305228482e-05	1
ENSG00000162636.11	FAM102B	3.80173676155092e-11	1
ENSG00000165097.9	KDM1B	9.589400387983e-05	1
ENSG00000165972.8	CCDC38	0.000155136027151323	1
ENSG00000166035.6	LIPC	9.01377590556372e-05	1
ENSG00000168710.13	AHCYL1	7.38336907405438e-10	1
ENSG00000173511.5	VEGFB	3.88937556425734e-05	1
ENSG00000176920.10	FUT2	0.0001645341787475	2
ENSG00000177051.5	FBXO46	3.79367838209455e-08	1
ENSG00000177464.4	GPR4	2.20753167146309e-07	1
ENSG00000178980.10	SEPW1	4.37392198550813e-05	1
ENSG00000180739.12	S1PR5	5.60915402600951e-13	1
ENSG00000182264.4	IZUMO1	2.57514609560453e-05	1
ENSG00000185800.7	DMWD	6.72155225256662e-05	1
ENSG00000196620.4	UGT2B15	0.000147754337296039	1
ENSG00000197647.7	ZNF433	9.06554999439512e-06	1
ENSG00000197888.2	UGT2B17	2.06776176064162e-05	2
ENSG00000204524.5	ZNF805	6.47193913801172e-06	1
ENSG00000215717.5	TMEM167B	0.000166897666424722	1
ENSG00000223547.5	ZNF844	3.91061564045218e-06	1
ENSG00000223802.3	CERS1	0.000176029596572997	1
ENSG00000236773.1	RP11-365O16.1	2.57329867164664e-05	1
ENSG00000236935.1	AP003774.1	4.13689339699567e-06	2
ENSG00000267163.1	AC084219.3	0.000129873754995341	1
ENSG00000267710.1	AC006116.20	9.88366032726153e-05	1
