GENE_ID	GENE_NAME	FAMILY_PVALUE	NTISSUES
ENSG00000000938.8	FGR	0.00421765171837489	4
ENSG00000002822.11	MAD1L1	0.0028862889052115	1
ENSG00000002919.10	SNX11	2.99639764208342e-07	23
ENSG00000002933.3	TMEM176A	0.00118759020276704	7
ENSG00000003249.9	DBNDD1	0.00176144478152873	12
ENSG00000003436.10	TFPI	0.000612832276864608	5
ENSG00000004700.11	RECQL	0.00477771567979754	2
ENSG00000004897.7	CDC27	2.54729406845307e-08	5
ENSG00000004975.7	DVL2	1.43611036707512e-21	10
ENSG00000005001.5	PRSS22	0.00161240865764135	1
ENSG00000005189.15	AC004381.6	0.000103845798394271	1
ENSG00000005238.15	FAM214B	0.00545826876218175	1
ENSG00000005243.5	COPZ2	2.79316062395596e-08	6
ENSG00000005882.7	PDK2	2.65113814805474e-11	1
ENSG00000005884.13	ITGA3	5.39008927996144e-16	2
ENSG00000005961.13	ITGA2B	0.00679419380498189	1
ENSG00000006025.7	OSBPL7	1.4557273872627e-06	7
ENSG00000006047.8	YBX2	3.59179575411427e-18	9
ENSG00000006062.9	MAP3K14	6.79288634753634e-05	2
ENSG00000006453.9	BAIAP2L1	6.87013721127755e-28	9
ENSG00000006607.9	FARP2	0.00506909512593695	1
ENSG00000007168.8	PAFAH1B1	0.000580845406763518	1
ENSG00000008256.11	CYTH3	0.00237875636433976	1
ENSG00000008952.12	SEC62	0.000223371923121497	1
ENSG00000009780.11	FAM76A	0.000841429440119774	2
ENSG00000010256.6	UQCRC1	0.00081622117214735	1
ENSG00000010270.9	STARD3NL	0.000554551589384157	1
ENSG00000010438.12	PRSS3	0.00162772564777293	1
ENSG00000010803.12	SCMH1	0.00435786022607967	3
ENSG00000011198.3	ABHD5	0.000824628600805129	1
ENSG00000011422.7	PLAUR	0.00602321903827061	1
ENSG00000011454.12	RABGAP1	0.00382543709211198	1
ENSG00000011523.9	CEP68	0.000211127227897756	25
ENSG00000012048.15	BRCA1	0.00116685268382605	2
ENSG00000012171.13	SEMA3B	0.00600341609809299	1
ENSG00000013275.3	PSMC4	0.00160625127971358	1
ENSG00000014164.6	ZC3H3	0.00405927298449376	32
ENSG00000015133.14	CCDC88C	0.00337341154950398	1
ENSG00000015413.5	DPEP1	0.00358033223982418	1
ENSG00000015532.5	XYLT2	0.00172445836680019	3
ENSG00000016082.10	ISL1	0.00272784292602912	1
ENSG00000016391.6	CHDH	0.000742757129940136	4
ENSG00000019991.11	HGF	5.164025017423e-05	1
ENSG00000020129.11	NCDN	0.00602837350551055	1
ENSG00000020426.6	MNAT1	0.000569425512179228	1
ENSG00000020922.8	MRE11A	2.04496309138788e-05	46
ENSG00000021574.7	SPAST	5.61665940356987e-07	5
ENSG00000022567.5	SLC45A4	0.00487772925330332	1
ENSG00000022840.11	RNF10	0.00479458405189721	2
ENSG00000023041.7	ZDHHC6	0.000111586252022535	10
ENSG00000023902.9	PLEKHO1	0.00109977084682998	1
ENSG00000025423.7	HSD17B6	3.87770356216982e-05	2
ENSG00000025434.14	NR1H3	1.15908738729299e-05	8
ENSG00000029364.7	SLC39A9	7.34129965564654e-05	3
ENSG00000030066.9	NUP160	0.0070429699788028	3
ENSG00000031691.6	CENPQ	0.00647530531065987	22
ENSG00000033178.8	UBA6	1.69181778541032e-05	1
ENSG00000035141.3	FAM136A	1.73555146286907e-07	4
ENSG00000037042.8	TUBG2	1.49654612753153e-06	26
ENSG00000040633.8	PHF23	5.5386417870839e-68	8
ENSG00000044115.16	CTNNA1	0.000388696615680523	2
ENSG00000048991.12	R3HDM1	0.00511223344115996	1
ENSG00000049245.8	VAMP3	0.00601831242755244	2
ENSG00000049319.2	SRD5A2	1.58447823002326e-06	1
ENSG00000049323.11	LTBP1	1.24423682721856e-12	3
ENSG00000050165.13	DKK3	0.000688048431344656	1
ENSG00000050405.9	LIMA1	2.70228110516393e-06	4
ENSG00000050426.11	LETMD1	0.00312007301661576	1
ENSG00000050438.12	SLC4A8	0.00749629031653962	1
ENSG00000051128.14	HOMER3	0.00394405755115508	1
ENSG00000051382.4	PIK3CB	0.00276912274842368	1
ENSG00000053702.10	NRIP2	0.000678142884049163	3
ENSG00000053918.11	KCNQ1	0.000476117928778813	1
ENSG00000054267.16	ARID4B	0.000854814339141683	1
ENSG00000054938.11	CHRDL2	0.00298003907536878	1
ENSG00000055147.13	FAM114A2	0.000167874792165217	3
ENSG00000058453.12	CROCC	0.00663824382777488	1
ENSG00000060642.6	PIGV	2.37876361970875e-15	24
ENSG00000062485.14	CS	0.00816701760448059	1
ENSG00000063046.13	EIF4B	0.00155514119741378	1
ENSG00000063176.11	SPHK2	0.000522210108463048	1
ENSG00000063177.8	RPL18	0.00379522619728083	2
ENSG00000063180.4	CA11	0.00485887552973132	2
ENSG00000064115.6	TM7SF3	0.00151280785795791	10
ENSG00000064199.2	SPA17	0.00607030816145004	1
ENSG00000064547.9	LPAR2	0.00646046524362876	1
ENSG00000064666.10	CNN2	0.000510138609449303	1
ENSG00000064989.8	CALCRL	9.2292140212394e-05	5
ENSG00000065000.11	AP3D1	0.00619764835371532	2
ENSG00000066084.8	DIP2B	2.04007051065503e-07	6
ENSG00000066117.10	SMARCD1	2.597676202644e-06	3
ENSG00000066336.7	SPI1	1.71327670581954e-05	3
ENSG00000067208.10	EVI5	9.74929143465675e-09	24
ENSG00000067369.9	TP53BP1	5.16095204200392e-05	7
ENSG00000067596.6	DHX8	0.00013986307293906	3
ENSG00000068078.13	FGFR3	0.00147904878201026	1
ENSG00000068079.3	IFI35	0.00106627244507752	1
ENSG00000068137.10	PLEKHH3	0.00695798911478366	1
ENSG00000068885.10	IFT80	0.002460153282678	2
ENSG00000069431.6	ABCC9	0.00757960795560444	1
ENSG00000069956.7	MAPK6	0.000301522478220445	1
ENSG00000070444.10	MNT	0.00127522544284164	2
ENSG00000070540.8	WIPI1	0.00725696940110705	1
ENSG00000070669.12	ASNS	0.00100985634249163	2
ENSG00000071205.7	ARHGAP10	3.45331283258755e-08	1
ENSG00000071539.9	TRIP13	1.43109795366551e-05	1
ENSG00000071564.10	TCF3	0.00363368780505129	1
ENSG00000072274.8	TFRC	6.80292179677498e-05	1
ENSG00000072310.12	SREBF1	0.00228060068864105	1
ENSG00000072778.15	ACADVL	2.92655285014281e-27	7
ENSG00000072818.7	ACAP1	7.37440751219433e-152	9
ENSG00000073711.6	PPP2R3A	0.00450202080720027	1
ENSG00000073969.14	NSF	1.0375284905015e-06	4
ENSG00000074410.9	CA12	0.00033156569928772	1
ENSG00000074582.8	BCS1L	0.00355087737444236	1
ENSG00000075420.8	FNDC3B	0.00113613227785779	1
ENSG00000075539.9	FRYL	0.00392194464708489	2
ENSG00000075914.8	EXOSC7	0.000180632297335678	1
ENSG00000075975.11	MKRN2	5.96781617949115e-06	27
ENSG00000076382.12	SPAG5	0.000419802063070894	1
ENSG00000076554.11	TPD52	0.0018370183350831	3
ENSG00000077150.13	NFKB2	0.00844812203313507	1
ENSG00000077782.15	FGFR1	0.00457849380957931	1
ENSG00000078043.11	PIAS2	5.73891094624781e-07	6
ENSG00000078246.11	TULP3	8.16195274106688e-10	17
ENSG00000078319.7	PMS2P1	0.000232658355114864	1
ENSG00000078403.12	MLLT10	0.00106544163193898	1
ENSG00000078487.13	ZCWPW1	1.0972369264487e-06	2
ENSG00000079387.9	SENP1	0.00746999963844337	1
ENSG00000079931.10	MOXD1	8.84721768608546e-05	1
ENSG00000081014.6	AP4E1	0.00596601494855523	1
ENSG00000082153.13	BZW1	0.00430549736513637	1
ENSG00000082641.11	NFE2L1	0.00632869604953181	1
ENSG00000082701.10	GSK3B	0.000312480248944004	8
