GENE_ID	GENE_NAME	FAMILY_PVALUE	NTISSUES
ENSG00000010310.4	GIPR	4.9435527077634e-07	1
ENSG00000069399.8	BCL3	7.06012502854413e-05	1
ENSG00000100139.9	MICALL1	2.0411628558283e-05	1
ENSG00000119927.9	GPAM	1.03145071507052e-06	2
ENSG00000125753.9	VASP	2.09363104214801e-06	1
ENSG00000134222.12	PSRC1	1.89814054084398e-07	3
ENSG00000134243.7	SORT1	1.08766279241597e-06	1
ENSG00000143106.8	PSMA5	1.94259307093379e-05	1
ENSG00000143126.7	CELSR2	4.72629652840114e-07	2
ENSG00000148737.11	TCF7L2	2.01294288278095e-08	1
ENSG00000151532.9	VTI1A	1.30684169125142e-05	1
ENSG00000158019.16	BRE	6.74839521096019e-05	1
ENSG00000159885.9	ZNF222	6.60101005904518e-06	1
ENSG00000161888.7	SPC24	0.000182161948725762	1
ENSG00000162636.11	FAM102B	3.79181975390416e-06	1
ENSG00000163806.11	SPDYA	0.000103190034350958	1
ENSG00000166278.10	C2	0.000186689647514595	1
ENSG00000166579.11	NDEL1	6.33811966466562e-05	1
ENSG00000168710.13	AHCYL1	1.23271226022482e-06	1
ENSG00000174171.4	RP11-23P13.6	6.13531089600662e-05	1
ENSG00000179344.12	HLA-DQB1	2.12240681111066e-11	46
ENSG00000185800.7	DMWD	6.38631504391668e-05	1
ENSG00000186567.8	CEACAM19	2.88724122782438e-05	13
ENSG00000196126.6	HLA-DRB1	1.75383229111979e-07	13
ENSG00000196301.3	HLA-DRB9	5.2375996315491e-07	3
ENSG00000196735.7	HLA-DQA1	3.71922624865789e-09	28
ENSG00000196865.4	NHLRC2	3.53009443997441e-07	1
ENSG00000198502.5	HLA-DRB5	0.000195685291384874	5
ENSG00000204261.4	TAPSAR1	7.56449390213057e-05	1
ENSG00000204287.9	HLA-DRA	3.88389487140735e-05	1
ENSG00000204301.5	NOTCH4	4.48523394638982e-06	12
ENSG00000204304.7	PBX2	8.64258131344031e-08	2
ENSG00000204305.9	AGER	2.56438466466125e-05	3
ENSG00000204308.6	RNF5	9.43650850842641e-05	1
ENSG00000204392.6	LSM2	9.40159222765314e-05	1
ENSG00000204394.8	VARS	2.62482102851266e-05	2
ENSG00000204396.6	VWA7	6.68490574843605e-05	1
ENSG00000204435.9	CSNK2B	2.20015578199209e-06	1
ENSG00000204444.6	APOM	4.75907094350123e-06	2
ENSG00000213139.3	CRYGS	9.19120654939976e-05	1
ENSG00000223534.1	HLA-DQB1-AS1	7.06330058530001e-09	26
ENSG00000228727.4	SAPCD1	0.000177125878346005	1
ENSG00000229391.3	HLA-DRB6	7.98033645082276e-08	44
ENSG00000232629.4	HLA-DQB2	1.95686508522343e-10	25
ENSG00000235663.1	SAPCD1-AS1	1.26495377931612e-05	1
ENSG00000236493.1	EIF2S2P3	8.79300040895598e-05	1
ENSG00000237441.5	RGL2	0.000121684751587831	1
ENSG00000237541.3	HLA-DQA2	1.04821504603731e-08	31
ENSG00000241287.1	XXbac-BPG254F23.6	9.93239853469568e-09	4
ENSG00000244731.3	C4A	8.53701949344461e-06	23
ENSG00000252743.1	RNU6-850P	6.3778105642553e-05	1
ENSG00000267163.1	AC084219.3	7.09115677038219e-05	2
ENSG00000272217.1	XXbac-BPG157A10.21	9.3947581194001e-08	1
