GENE_ID	GENE_NAME	FAMILY_PVALUE	NTISSUES
ENSG00000007047.10	MARK4	1.74662962428589e-09	1
ENSG00000007255.6	TRAPPC6A	7.1819303234489e-07	3
ENSG00000010310.4	GIPR	2.48549013964815e-11	1
ENSG00000011347.5	SYT7	0.000188704409149359	1
ENSG00000012061.11	ERCC1	0.00015865069497107	2
ENSG00000062370.12	ZNF112	8.8847607038867e-06	1
ENSG00000065989.11	PDE4A	7.04808068417236e-05	2
ENSG00000069399.8	BCL3	1.10188065685032e-05	2
ENSG00000073008.10	PVR	3.2784582320309e-06	2
ENSG00000076662.5	ICAM3	0.000373270573070354	2
ENSG00000090339.4	ICAM1	4.43516061364253e-05	1
ENSG00000100592.11	DAAM1	3.52827923097286e-05	1
ENSG00000104783.7	KCNN4	0.000428910717407459	4
ENSG00000104853.11	CLPTM1	3.05853643626638e-05	2
ENSG00000104856.9	RELB	8.76679335118834e-13	3
ENSG00000104859.10	CLASRP	4.7201728698173e-12	2
ENSG00000104879.4	CKM	1.31887896689527e-17	3
ENSG00000104881.10	PPP1R13L	2.60677328083356e-07	1
ENSG00000104936.13	DMPK	6.74244730671509e-11	4
ENSG00000105397.9	TYK2	2.56777126112081e-05	1
ENSG00000105401.2	CDC37	3.19064170304014e-06	1
ENSG00000105514.3	RAB3D	1.53262854578936e-10	1
ENSG00000105520.6	DKFZP761J1410	1.52158048946734e-12	4
ENSG00000105662.11	CRTC1	0.000107095144375413	1
ENSG00000105726.12	ATP13A1	2.05988194930257e-06	8
ENSG00000114388.8	NPRL2	0.000365932161990377	1
ENSG00000117877.6	CD3EAP	2.01976794945959e-06	1
ENSG00000124459.7	ZNF45	1.12342631418047e-11	1
ENSG00000124920.9	MYRF	6.33930455689074e-06	1
ENSG00000124942.9	AHNAK	8.73189469592869e-06	1
ENSG00000125740.9	FOSB	1.00125323422595e-06	1
ENSG00000125743.6	SNRPD2	4.69942642876786e-05	1
ENSG00000125746.10	EML2	9.91580669519365e-11	2
ENSG00000125753.9	VASP	4.20762043631651e-07	1
ENSG00000127616.13	SMARCA4	2.74044259022072e-11	6
ENSG00000129351.13	ILF3	0.000219177005654567	1
ENSG00000129353.10	SLC44A2	0.0001043957947844	1
ENSG00000129933.16	MAU2	5.91511942134268e-07	3
ENSG00000130158.9	DOCK6	1.1010885366556e-20	2
ENSG00000130165.6	ELOF1	1.63807765382441e-13	1
ENSG00000130173.9	C19orf80	0.000225700540960196	1
ENSG00000130175.5	PRKCSH	0.000163131247045411	1
ENSG00000130176.3	CNN1	8.37480974332635e-06	1
ENSG00000130202.5	PVRL2	7.54546458174942e-13	6
ENSG00000130203.5	APOE	1.48736799395932e-06	2
ENSG00000130208.5	APOC1	9.05105053347816e-19	2
ENSG00000130287.9	NCAN	3.62681707328882e-05	2
ENSG00000130811.6	EIF3G	2.39814581095636e-07	1
ENSG00000130816.10	DNMT1	1.82105117619322e-07	5
ENSG00000131115.11	ZNF227	7.62931978438083e-14	1
ENSG00000134780.5	DAGLA	5.34210641404729e-05	1
ENSG00000134824.9	FADS2	6.62365942426229e-11	23
ENSG00000134825.9	TMEM258	1.16584109061641e-13	14
ENSG00000136696.6	IL36B	0.000261710621739141	3
ENSG00000138115.9	CYP2C8	0.000370676785527221	1
ENSG00000140853.11	NLRC5	0.000244138454096694	1
ENSG00000142178.7	SIK1	0.000410493328377199	1
ENSG00000142252.6	GEMIN7	4.24942292841132e-08	3
ENSG00000142273.6	CBLC	0.00044550254551918	1
ENSG00000142444.6	C19orf52	7.64881872939995e-05	3
ENSG00000143367.11	TUFT1	0.000341825064726081	1
ENSG00000147697.4	GSDMC	0.00031941472248259	1
ENSG00000149016.11	TUT1	2.66967284529619e-07	1
ENSG00000149483.7	TMEM138	7.07969180446056e-05	1
ENSG00000149485.12	FADS1	8.35802313002666e-17	18
ENSG00000149503.8	INCENP	8.80711105466117e-05	1
ENSG00000154065.12	ANKRD29	0.000273770732044314	1
ENSG00000158516.7	CPA2	0.000257696835791644	1
ENSG00000159871.10	LYPD5	1.06978679367861e-06	6
ENSG00000159885.9	ZNF222	5.76641034101975e-06	4
ENSG00000159915.8	ZNF233	1.87150832318341e-13	3
ENSG00000159917.10	ZNF235	7.25927217544532e-07	2
ENSG00000161847.9	RAVER1	8.98099604742033e-10	1
ENSG00000161888.7	SPC24	2.54066871615092e-05	2
ENSG00000161914.5	ZNF653	7.63387300099568e-06	2
ENSG00000162148.6	PPP1R32	2.30402444965707e-07	1
ENSG00000162194.8	C11orf48	0.000469043691189887	1
ENSG00000162231.9	NXF1	0.000325865721965084	1
ENSG00000162236.7	STX5	1.76477854775904e-06	1
ENSG00000164045.7	CDC25A	0.000125279829505722	5
ENSG00000164048.9	ZNF589	0.000217480144662027	25
ENSG00000164402.9	SEPT8	0.000186435277942138	1
ENSG00000165689.12	SDCCAG3	0.000527328257099896	1
ENSG00000166173.9	LARP6	0.000128148936844121	1
ENSG00000167380.12	ZNF226	1.45633912666978e-06	2
ENSG00000167383.4	ZNF229	0.000503038133394584	2
ENSG00000167491.13	GATAD2A	7.88171179152026e-08	2
ENSG00000167985.2	SDHAF2	1.43844203510389e-07	1
ENSG00000169174.9	PCSK9	0.000138302083671961	1
ENSG00000170412.12	GPRC5C	0.000153878048574695	1
ENSG00000170604.3	IRF2BP1	2.72116595834019e-08	1
ENSG00000170608.2	FOXA3	1.10956691378797e-06	1
ENSG00000170684.4	ZNF296	0.000116030211112674	1
ENSG00000171295.8	ZNF440	0.000294726022300343	1
ENSG00000172113.4	NME6	1.37598006059139e-05	21
ENSG00000175445.10	LPL	0.000304688960890136	1
ENSG00000175898.4	CTD-2369P2.2	9.70265473126429e-05	1
ENSG00000177045.6	SIX5	1.16568869686164e-08	3
ENSG00000177051.5	FBXO46	5.33303896612404e-35	2
ENSG00000177464.4	GPR4	3.00096903228689e-15	2
ENSG00000178386.8	ZNF223	2.11376930845747e-09	1
ENSG00000179846.7	NKPD1	4.29882225596379e-06	1
ENSG00000180739.12	S1PR5	1.95160198257259e-21	3
ENSG00000180917.12	CMTR2	0.000189362766231497	1
ENSG00000181035.9	SLC25A42	3.1292508564059e-05	1
ENSG00000182253.10	SYNM	0.000515020274542506	1
ENSG00000185670.7	ZBTB3	0.000586156486205882	1
ENSG00000185800.7	DMWD	8.11930810202219e-05	1
ENSG00000186019.10	AC084219.4	6.63983979456076e-09	2
ENSG00000186026.6	ZNF284	2.98157876743846e-06	1
ENSG00000186567.8	CEACAM19	7.31526813930032e-06	4
ENSG00000187244.6	BCAM	8.10951310947496e-13	2
ENSG00000187266.9	EPOR	1.605916179422e-05	1
ENSG00000187664.8	HAPLN4	7.35943591172545e-05	1
ENSG00000196757.3	ZNF700	4.75283213289587e-06	2
ENSG00000197044.6	ZNF441	3.31672419200886e-05	2
ENSG00000197256.6	KANK2	5.64081308812763e-08	4
ENSG00000197647.7	ZNF433	1.24035207769544e-14	3
ENSG00000198003.7	CCDC151	1.19873891897405e-05	1
ENSG00000198429.5	ZNF69	9.8943402856806e-06	2
ENSG00000198551.5	ZNF627	0.000604773982319468	1
ENSG00000204920.6	ZNF155	1.00121366730273e-08	8
ENSG00000213089.4	PDCL3P5	0.000344040237264595	1
ENSG00000213889.6	PPM1N	0.000412211736682248	1
ENSG00000213996.8	TM6SF2	0.00013714763590403	1
ENSG00000214212.4	C19orf38	0.000542240465846948	1
ENSG00000214223.3	HNRNPA1P10	6.73188537292818e-09	1
ENSG00000221883.2	ARIH2OS	0.0004205148362973	1
ENSG00000221968.4	FADS3	8.39815489786341e-14	2
ENSG00000223482.3	NUTM2A-AS1	0.000600554510529315	1
ENSG00000223547.5	ZNF844	7.95418442029775e-16	2
ENSG00000223802.3	CERS1	3.48828565987593e-07	1
ENSG00000225135.1	RP11-361F15.2	0.000461064391251024	1
ENSG00000228638.1	FCF1P2	0.000146624021714707	12
ENSG00000229453.1	SPINK8	6.47166876375048e-05	3
ENSG00000229759.1	MRPS18AP1	0.000309309458821282	16
ENSG00000229841.1	RP11-361K17.2	0.000476263040194596	1
ENSG00000230269.2	RP1-40E16.9	0.000529438883409836	1
ENSG00000236493.1	EIF2S2P3	0.000124004076205837	1
ENSG00000238141.2	BRWD1-AS1	0.000448417340380245	1
ENSG00000247372.2	CTD-2235C13.2	0.000175949470529226	1
ENSG00000256294.3	ZNF225	0.000195075028258895	1
ENSG00000256443.1	RP11-794G24.1	0.000485526371550348	1
ENSG00000257221.1	RP11-689B22.2	0.000424152942526906	1
ENSG00000259605.3	AC074212.5	3.14731948197283e-05	1
ENSG00000263002.3	ZNF234	0.000230001140621429	2
ENSG00000267082.1	CTC-510F12.2	9.6601670182267e-14	1
ENSG00000267114.1	CTB-129P6.11	6.79986056172482e-05	1
ENSG00000267163.1	AC084219.3	1.73582457720177e-06	1
ENSG00000267197.1	CTC-429L19.3	0.000537169372388463	1
ENSG00000267242.1	AC069278.4	4.15401387595245e-06	3
ENSG00000267395.1	AC074212.6	1.27123280399658e-09	1
ENSG00000267680.1	ZNF224	4.40229914568342e-08	4
ENSG00000267730.1	CTD-2537I9.5	0.000105672153383616	1
ENSG00000268601.1	AC115522.3	4.00757768939752e-05	2
ENSG00000269463.1	RP11-727F15.13	1.17705744561741e-06	1
